guid	table_name	background	question	choice_A	choice_B	choice_C	choice_D	answer	gold	sentences
guid_420-0	null	2010年四个省份地理数据统计情况表。读表判断下列各题。	①、②、③、④四个省份对应正确的是	①浙江、②海南、③青海、④河南	①青海、②浙江、③海南、④河南	①海南、②浙江、③青海、④河南	①浙江、②青海、③河南、④海南	A	①省老龄人口比重最高。②省第一产业占比重在四省中最大，第三产业比重高。②省第一产业占比重在四省中最大，第三产业比重高。④省老年人口比重较低。	对于①当地理要素为65岁人口比重省份①为9.30%&对于①当地理要素为第一第二第三产业之比省份①为6:54:40&对于①当地理要素为人口年均增长率省份①为1.53%&对于①当地理要素为城市化率省份①为62%&对于②当地理要素为65岁人口比重省份②为7.80%&对于②当地理要素为第一第二第三产业之比省份②为29:30:41&对于②当地理要素为人口年均增长率省份②为0.98%&对于②当地理要素为城市化率省份②为49.10%&对于③当地理要素为65岁人口比重省份③为6.30%&对于③当地理要素为第一第二第三产业之比省份③为11:55:34&对于③当地理要素为人口年均增长率省份③为0.83%&对于③当地理要素为城市化率省份③为44.70%&对于④当地理要素为65岁人口比重省份④为7.60%&对于④当地理要素为第一第二第三产业之比省份④为14:58:28&对于④当地理要素为人口年均增长率省份④为0.16%&对于④当地理要素为城市化率省份④为48%
guid_420-1	null	2010年四个省份地理数据统计情况表。读表判断下列各题。	下列关于各省的说法不正确的	①省份人口年增长率大主要是外来人口迁入造成	②省份第三产业比重最高，说明经济发展水平最高	③省份目前经济发展水平最低	四个省份中①省份老龄化程度最重	B	①省份人口老龄化程度高。②省份第三产业在当地比重最高。③省份城市化水平最低。四个省份中①省份老龄人口所占比重最高。	对于①当地理要素为65岁人口比重省份①为9.30%&对于①当地理要素为第一第二第三产业之比省份①为6:54:40&对于①当地理要素为人口年均增长率省份①为1.53%&对于①当地理要素为城市化率省份①为62%&对于②当地理要素为65岁人口比重省份②为7.80%&对于②当地理要素为第一第二第三产业之比省份②为29:30:41&对于②当地理要素为人口年均增长率省份②为0.98%&对于②当地理要素为城市化率省份②为49.10%&对于③当地理要素为65岁人口比重省份③为6.30%&对于③当地理要素为第一第二第三产业之比省份③为11:55:34&对于③当地理要素为人口年均增长率省份③为0.83%&对于③当地理要素为城市化率省份③为44.70%&对于④当地理要素为65岁人口比重省份④为7.60%&对于④当地理要素为第一第二第三产业之比省份④为14:58:28&对于④当地理要素为人口年均增长率省份④为0.16%&对于④当地理要素为城市化率省份④为48%
guid_273-0	我国两城市的甲乙两家庭(人口、住房、收入等条件相当)各月用电量比较图”	读“我国两城市的甲乙两家庭(人口、住房、收入等条件相当)各月用电量比较图”。完成下列各题。	家庭用电量与所在地气候状况存在一定的相关性。下列说法正确的是	两地气温最高都在7月份	两地气温最低都在1月份	甲所在地区大陆性强	乙所在地区大陆性强	C	甲用电量最高在7月份。乙用电量最高是在8月份。甲用电量最低在12月份。乙用电量最低是在2月份。	对于甲家庭各月用电量曲线当月份为7月用电量取得最大值231千瓦时&对于乙家庭人口住房收入等条件相当各月用电量曲线当月份为8月用电量取得最大值142千瓦时&对于甲家庭各月用电量曲线当月份为12月用电量取得最小值79千瓦时&对于乙家庭人口住房收入等条件相当各月用电量曲线当月份为3月用电量取得最小值79千瓦时&对于甲家庭各月用电量曲线用电量在区间4月到7月之间增加&对于乙家庭人口住房收入等条件相当各月用电量曲线用电量在区间3月到8月之间增加&对于乙家庭人口住房收入等条件相当各月用电量曲线，在5月到7月之间，用电量增长较快&对于甲家庭各月用电量曲线用电量在区间1月到3月之间减小&对于甲家庭各月用电量曲线用电量在区间7月到12月之间减小&对于乙家庭人口住房收入等条件相当各月用电量曲线用电量在区间8月到12月之间减小&对于乙家庭人口住房收入等条件相当各月用电量曲线，在2月到3月之间，用电量减少较快&对于乙家庭人口住房收入等条件相当各月用电量曲线，在8月到9月之间，用电量减少较快&对于甲家庭各月用电量曲线当月份为7月用电量甲家庭各月用电量曲线为231千瓦时&对于甲家庭各月用电量曲线当月份为1月用电量甲家庭各月用电量曲线为139千瓦时&对于乙家庭人口住房收入等条件相当各月用电量曲线当月份为7月用电量乙家庭人口住房收入等条件相当各月用电量曲线为133千瓦时&对于乙家庭人口住房收入等条件相当各月用电量曲线当月份为1月用电量乙家庭人口住房收入等条件相当各月用电量曲线为82千瓦时&对于甲家庭各月用电量曲线整体上，用电量大于7千瓦时&对于甲家庭各月用电量曲线整体上，用电量大于1千瓦时&对于甲家庭各月用电量曲线整体上，用电量大于0千瓦时&对于乙家庭人口住房收入等条件相当各月用电量曲线整体上，用电量大于7千瓦时&对于乙家庭人口住房收入等条件相当各月用电量曲线整体上，用电量大于1千瓦时&对于乙家庭人口住房收入等条件相当各月用电量曲线整体上，用电量大于0千瓦时&在区间1月到9月之间，甲家庭各月用电量曲线的值大于乙家庭人口住房收入等条件相当各月用电量曲线&在区间9月到12月之间，甲家庭各月用电量曲线的值小于乙家庭人口住房收入等条件相当各月用电量曲线&对于甲家庭各月用电量曲线，在1月，用电量较大&对于甲家庭各月用电量曲线，在6月到8月之间，用电量较大&对于乙家庭人口住房收入等条件相当各月用电量曲线，在2月，用电量较大&对于乙家庭人口住房收入等条件相当各月用电量曲线，在6月到9月之间，用电量较大&对于甲家庭各月用电量曲线，在1月到5月之间，用电量较小&对于甲家庭各月用电量曲线，在8月到12月之间，用电量较小&对于乙家庭人口住房收入等条件相当各月用电量曲线，在2月到5月之间，用电量较小&对于乙家庭人口住房收入等条件相当各月用电量曲线，在9月到12月之间，用电量较小&甲家庭各月用电量曲线整体上波动下降&乙家庭人口住房收入等条件相当各月用电量曲线整体上先增加后减小
guid_273-1	我国两城市的甲乙两家庭(人口、住房、收入等条件相当)各月用电量比较图”	读“我国两城市的甲乙两家庭(人口、住房、收入等条件相当)各月用电量比较图”。完成下列各题。	我国是能源消费大国，而核电所占比重小。我国发展核电最大可能是	解决能源短缺	减少碳排放量	降低我国发电总量	缓解热岛效应	B	甲用电量最高在7月份。乙用电量最高是在8月份。甲用电量最低在12月份。乙用电量最低是在2月份。	对于甲家庭各月用电量曲线当月份为7月用电量取得最大值231千瓦时&对于乙家庭人口住房收入等条件相当各月用电量曲线当月份为8月用电量取得最大值142千瓦时&对于甲家庭各月用电量曲线当月份为12月用电量取得最小值79千瓦时&对于乙家庭人口住房收入等条件相当各月用电量曲线当月份为3月用电量取得最小值79千瓦时&对于甲家庭各月用电量曲线用电量在区间4月到7月之间增加&对于乙家庭人口住房收入等条件相当各月用电量曲线用电量在区间3月到8月之间增加&对于乙家庭人口住房收入等条件相当各月用电量曲线，在5月到7月之间，用电量增长较快&对于甲家庭各月用电量曲线用电量在区间1月到3月之间减小&对于甲家庭各月用电量曲线用电量在区间7月到12月之间减小&对于乙家庭人口住房收入等条件相当各月用电量曲线用电量在区间8月到12月之间减小&对于乙家庭人口住房收入等条件相当各月用电量曲线，在2月到3月之间，用电量减少较快&对于乙家庭人口住房收入等条件相当各月用电量曲线，在8月到9月之间，用电量减少较快&对于甲家庭各月用电量曲线当月份为7月用电量甲家庭各月用电量曲线为231千瓦时&对于甲家庭各月用电量曲线当月份为1月用电量甲家庭各月用电量曲线为139千瓦时&对于乙家庭人口住房收入等条件相当各月用电量曲线当月份为7月用电量乙家庭人口住房收入等条件相当各月用电量曲线为133千瓦时&对于乙家庭人口住房收入等条件相当各月用电量曲线当月份为1月用电量乙家庭人口住房收入等条件相当各月用电量曲线为82千瓦时&对于甲家庭各月用电量曲线整体上，用电量大于7千瓦时&对于甲家庭各月用电量曲线整体上，用电量大于1千瓦时&对于甲家庭各月用电量曲线整体上，用电量大于0千瓦时&对于乙家庭人口住房收入等条件相当各月用电量曲线整体上，用电量大于7千瓦时&对于乙家庭人口住房收入等条件相当各月用电量曲线整体上，用电量大于1千瓦时&对于乙家庭人口住房收入等条件相当各月用电量曲线整体上，用电量大于0千瓦时&在区间1月到9月之间，甲家庭各月用电量曲线的值大于乙家庭人口住房收入等条件相当各月用电量曲线&在区间9月到12月之间，甲家庭各月用电量曲线的值小于乙家庭人口住房收入等条件相当各月用电量曲线&对于甲家庭各月用电量曲线，在1月，用电量较大&对于甲家庭各月用电量曲线，在6月到8月之间，用电量较大&对于乙家庭人口住房收入等条件相当各月用电量曲线，在2月，用电量较大&对于乙家庭人口住房收入等条件相当各月用电量曲线，在6月到9月之间，用电量较大&对于甲家庭各月用电量曲线，在1月到5月之间，用电量较小&对于甲家庭各月用电量曲线，在8月到12月之间，用电量较小&对于乙家庭人口住房收入等条件相当各月用电量曲线，在2月到5月之间，用电量较小&对于乙家庭人口住房收入等条件相当各月用电量曲线，在9月到12月之间，用电量较小&甲家庭各月用电量曲线整体上波动下降&乙家庭人口住房收入等条件相当各月用电量曲线整体上先增加后减小
guid_521-0	北半球某水库多年平均水量盈余率季节变化图	水量盈余率是衡量水库蓄水量变化的重要指标(水量盈余率=流入量／流出量)，下图为北半球某水库多年平均水量盈余率季节变化图。读图，结合所学知识完成下列各题。	该水库的最高水位一般出现在	10月	6月	3月	12月	C	每年的4-9月，水库的水库盈余率小于一。10-次年3月，水库水库盈余率大于一	对于水量盈余率当月份为10月水量盈余率取得最大值1.94&对于水量盈余率当月份为6月水量盈余率取得最小值0.64&对于水量盈余率水量盈余率在区间6月到10月之间增加&对于水量盈余率水量盈余率在区间1月到5月之间减小&对于水量盈余率水量盈余率在区间10月到12月之间减小&对于水量盈余率，在4月到5月之间，水量盈余率减少较快&对于水量盈余率，在10月到11月之间，水量盈余率减少较快&对于水量盈余率当月份为10月水量盈余率水量盈余率为1.94&对于水量盈余率当月份为6月水量盈余率水量盈余率为0.64&对于水量盈余率当月份为3月水量盈余率水量盈余率为1.06&对于水量盈余率当月份为12月水量盈余率水量盈余率为1.42&对于水量盈余率整体上，水量盈余率大于0.0&对于水量盈余率，在1.到3月之间，水量盈余率大于1.0&对于水量盈余率，在9月到1.月之间，水量盈余率大于1.0&对于水量盈余率，在4月到8月之间，水量盈余率小于1.0&对于水量盈余率整体上，水量盈余率小于3.0&对于水量盈余率，在1月到2月之间，水量盈余率较大&对于水量盈余率，在10月到12月之间，水量盈余率较大&对于水量盈余率，在2月到9月之间，水量盈余率较小&水量盈余率整体上波动上升
guid_521-1	北半球某水库多年平均水量盈余率季节变化图	水量盈余率是衡量水库蓄水量变化的重要指标(水量盈余率=流入量／流出量)，下图为北半球某水库多年平均水量盈余率季节变化图。读图，结合所学知识完成下列各题。	根据降水量各月的分配情况，该水库所处的区域属于	全年多雨区	夏季多雨区	全年少雨区	冬季多雨区	D	7月份水库盈余率小于一。1月份水库盈余率大于一。	对于水量盈余率当月份为10月水量盈余率取得最大值1.94&对于水量盈余率当月份为6月水量盈余率取得最小值0.64&对于水量盈余率水量盈余率在区间6月到10月之间增加&对于水量盈余率水量盈余率在区间1月到5月之间减小&对于水量盈余率水量盈余率在区间10月到12月之间减小&对于水量盈余率，在4月到5月之间，水量盈余率减少较快&对于水量盈余率，在10月到11月之间，水量盈余率减少较快&对于水量盈余率当月份为10月水量盈余率水量盈余率为1.94&对于水量盈余率当月份为6月水量盈余率水量盈余率为0.64&对于水量盈余率当月份为3月水量盈余率水量盈余率为1.06&对于水量盈余率当月份为12月水量盈余率水量盈余率为1.42&对于水量盈余率整体上，水量盈余率大于0.0&对于水量盈余率，在1.到3月之间，水量盈余率大于1.0&对于水量盈余率，在9月到1.月之间，水量盈余率大于1.0&对于水量盈余率，在4月到8月之间，水量盈余率小于1.0&对于水量盈余率整体上，水量盈余率小于3.0&对于水量盈余率，在1月到2月之间，水量盈余率较大&对于水量盈余率，在10月到12月之间，水量盈余率较大&对于水量盈余率，在2月到9月之间，水量盈余率较小&水量盈余率整体上波动上升
guid_321-0	1983～2003年江苏省年平均气温变化图	读“1983～2003年江苏省年平均气温变化图”，完成小题。	1983～2003年，江苏省年平均气温变化的总体趋势是 (　　)	降幅超过升幅	逐年上升	升高约2.1℃	波动上升	D	1983～2003年，江苏省年平均气温有的年份高，有的年份低，总体波动上升。	对于气温当年份为1996年气温取得最大值16.19&对于气温当年份为1986年气温取得最小值14.18&对于气温气温在区间1990年到1992年之间增加&对于气温气温在区间1998年到2001年之间增加&对于气温气温在区间2002年到2005年之间增加&对于气温气温在区间1984年到1989年之间减小&对于气温气温在区间1992年到1997年之间减小&对于气温，在1992年到1994年之间，气温减少较快&对于气温，在1985年到1987年之间，气温减少较慢&对于气温当年份为2003年气温气温为15.84&对于气温整体上，气温大于0.0&对于气温，在1992年，气温较大&对于气温，在1996年到1997年之间，气温较大&对于气温，在1999年到2005年之间，气温较大&对于气温，在1984年到1991年之间，气温较小&对于气温，在1992年到1995年之间，气温较小&整体上，气温变化不大&气温整体上波动上升
guid_321-1	1983～2003年江苏省年平均气温变化图	读“1983～2003年江苏省年平均气温变化图”，完成小题。	为减缓气候变化，人类应采取的主要措施有 (　　)	加强对台风、寒潮等灾害性天气的监测和预报	改善能源结构，加强对太阳能、核电、风能等新能源的开发和利用	加快对海洋资源的开发和利用	禁止使用排放二氧化碳的矿物燃料	B	1983～2003年，江苏省年平均气温有的年份高，有的年份低，总体波动上升。	对于气温当年份为1996年气温取得最大值16.19&对于气温当年份为1986年气温取得最小值14.18&对于气温气温在区间1990年到1992年之间增加&对于气温气温在区间1998年到2001年之间增加&对于气温气温在区间2002年到2005年之间增加&对于气温气温在区间1984年到1989年之间减小&对于气温气温在区间1992年到1997年之间减小&对于气温，在1992年到1994年之间，气温减少较快&对于气温，在1985年到1987年之间，气温减少较慢&对于气温当年份为2003年气温气温为15.84&对于气温整体上，气温大于0.0&对于气温，在1992年，气温较大&对于气温，在1996年到1997年之间，气温较大&对于气温，在1999年到2005年之间，气温较大&对于气温，在1984年到1991年之间，气温较小&对于气温，在1992年到1995年之间，气温较小&整体上，气温变化不大&气温整体上波动上升
guid_435-0	北半球亚热带某地降水量逐月累计曲线图	下图是北半球亚热带某地降水量逐月累计曲线图。读图完成下列问题。	该地冬季主要受	东北信风的影响	东南信风的影响	西风的影响	极地东风的影响	C	夏季6—9月份降水量增加较少。冬季11—次年2月份，降水量增加较多	对于降水量mm当月份为12月降水量取得最大值738mm&对于降水量mm当月份为1月降水量取得最小值104mm&对于降水量mm降水量在区间1月到6月之间增加&对于降水量mm降水量在区间8月到12月之间增加&对于降水量mm，在1月到3月之间，降水量增长较快&对于降水量mm，在10月到12月之间，降水量增长较快&对于降水量mm，在6月到7月之间，降水量减少较快&对于降水量mm当月份为1月降水量降水量mm为104mm&对于降水量mm当月份为2月降水量降水量mm为222mm&对于降水量mm当月份为3月降水量降水量mm为296mm&对于降水量mm当月份为4月降水量降水量mm为362mm&对于降水量mm整体上，降水量大于0mm&对于降水量mm整体上，降水量大于1mm&对于降水量mm整体上，降水量大于2mm&对于降水量mm整体上，降水量大于3mm&对于降水量mm整体上，降水量大于4mm&对于降水量mm，在6月，降水量较大&对于降水量mm，在9月到12月之间，降水量较大&对于降水量mm，在1月到5月之间，降水量较小&对于降水量mm，在6月到8月之间，降水量较小&降水量mm整体上波动上升
guid_435-1	北半球亚热带某地降水量逐月累计曲线图	下图是北半球亚热带某地降水量逐月累计曲线图。读图完成下列问题。	利用典型的农产品，该地可发展的工业是	甘蔗制糖	蚕丝纺织	甜菜加工	葡萄酿酒	D	夏季6—9月份降水量增加较少。冬季11—次年2月份，降水量增加较多	对于降水量mm当月份为12月降水量取得最大值738mm&对于降水量mm当月份为1月降水量取得最小值104mm&对于降水量mm降水量在区间1月到6月之间增加&对于降水量mm降水量在区间8月到12月之间增加&对于降水量mm，在1月到3月之间，降水量增长较快&对于降水量mm，在10月到12月之间，降水量增长较快&对于降水量mm，在6月到7月之间，降水量减少较快&对于降水量mm当月份为1月降水量降水量mm为104mm&对于降水量mm当月份为2月降水量降水量mm为222mm&对于降水量mm当月份为3月降水量降水量mm为296mm&对于降水量mm当月份为4月降水量降水量mm为362mm&对于降水量mm整体上，降水量大于0mm&对于降水量mm整体上，降水量大于1mm&对于降水量mm整体上，降水量大于2mm&对于降水量mm整体上，降水量大于3mm&对于降水量mm整体上，降水量大于4mm&对于降水量mm，在6月，降水量较大&对于降水量mm，在9月到12月之间，降水量较大&对于降水量mm，在1月到5月之间，降水量较小&对于降水量mm，在6月到8月之间，降水量较小&降水量mm整体上波动上升
