question	choice_A	choice_B	choice_C	choice_D	answer
6月份入库水量最大下图为我国某水库常年平均月均水位变化和月入库水量图，读图完成下列各题。该水库所在地区最可能是（ ）	淮河流域	太行山区	松花江流域	青藏高原	A
6月-8月月入库水量较大，9月-12月和1月-5月月入库水量较小。下图为我国某水库常年平均月均水位变化和月入库水量图，读图完成下列各题。下列关于该水库所在区域的说法，正确的是（ ）	降水季节变化较小	该水库水位随着入库水量的增加而升高	6－8月水库水位在持续升高	冬春季节水库入库水量多于出库水量	C
①、③、②、④的碳排放量一次减小。交通运输业是人为活动碳排放的第二大来源，仅次于电力与热力生产部门。读1990～2012年我国客运交通碳排放强度（单位乘客公里碳排放量）示意图，完成下列各题。图示我国客运交通碳排放强度曲线①②③④分别代表（ ）	民航、铁路、公路、水运	公路、水运、民航、铁路	铁路、民航、水运、公路	水运、铁路、公路、民航	A
基础设施和住宅商品房比重较大读北京市2009年城市建设土地供应计划表（表1）。回答1～2题。该项供地结构，最有利于	改善北京市的人居环境	促进北京市的工业发展	调整北京市的产业结构	推动北京市的科教事业	A
商业服务用地较少读北京市2009年城市建设土地供应计划表（表1）。回答1～2题。在各项用地中，商业服务用地较少，原因是	公用事业的发展	北京已经是全国的商业服务中心	金融业和工矿业的发展	商业服务业高度集聚	D
该湖泊从10月份到2月份水量盈余率大于1。4月份到8月份水量盈余率小于1。水量盈余率是衡量水库蓄水量变化的重要指标（水量盈余率=流入量/流出量），读“某 水库各月水量盈余率统计表”。完成下列各题。下列说法正确的是	12月份水库的储水量最大	9月份水库的储水量最大	3月份水库的储水量最大	6月份水库的储水量最小	C
该湖泊从10月份到2月份水量盈余率大于1。4月份到8月份水量盈余率小于1。水量盈余率是衡量水库蓄水量变化的重要指标（水量盈余率=流入量/流出量），读“某 水库各月水量盈余率统计表”。完成下列各题。该水库最有可能位于	西欧地区	南亚地区	地中海地区	东亚地区	C
西南省份的人力效率最低。下表为我国不同地区2015年粮食生产效率表。回答问题。表中所示生产成本中劳动费用最高的是（ ）	西北省份	西南省份	东南省份	东北和新疆	B
东北和新疆的人力投入量最低，人力效率最高下表为我国不同地区2015年粮食生产效率表。回答问题。东北和新疆的人力投入量最低，人力效率最高，反映出（ ）	农业生产落后	劳动力科技素质高	机械化水平高	气候条件优越	C
风力最小的时候在18—20时之间“一听是萌兽，一看是猛兽。玉兔是传说，天兔却不是”。2013年 9月22日19时40分前后，今年第19号强台风“天兔”的中心在广东省汕尾市沿海登陆，给附近地区带来狂风暴雨。回答下列问题关于台风的叙述正确的是	此天气系统属于锋面气旋	当台风中心移至汕头以东海面时，汕头刮西北风	造成的主要危害是强风，特大暴雨和海汐	中国、美国、印度、新加坡等国家受台风（飓风）影响很大	B
风力最小的时候在18—20时之间“一听是萌兽，一看是猛兽。玉兔是传说，天兔却不是”。2013年 9月22日19时40分前后，今年第19号强台风“天兔”的中心在广东省汕尾市沿海登陆，给附近地区带来狂风暴雨。回答下列问题图为台风经过汕头时的风速变化图示意图，台风最接近该地是：	14时	16时	19时	22时	C
6时-12时进入本区的交通量最大。16时-20时离开本区交通量最大下图是杭州市观测点不同时段地铁运输人数变化曲线图，据此回答下面小题。该观测点可能位于下列哪个功能区（ ）	工业区	中心商务区	高级住宅区	低级住宅区	B
6时-12时进入本区的交通量最大。16时-20时离开本区交通量最大下图是杭州市观测点不同时段地铁运输人数变化曲线图，据此回答下面小题。目前，一般城市选择远郊建造公租房、经济适用房，影响决策的主导因素是（ ）	土地价格	环境因素	交通条件	土地利用效率	A
2001-2007年江苏人口自然增长量变化很小读图，回答：2001 - 2007年江苏人口	迁入增多	出生率上升	自然增长率上升	死亡率下降	A
2000-2010年,安徽省的城市化比重增加至45%;2000-2005年城市化水平提高了10%;2010-2012年城市化比重一直在增加；1990-1995年城市化比重增加最少；2015年安徽省城市化比重为0%下图示意安徽省1990～2030年城市化水平统计及预测。读图，完成下列各题。安徽省城市化进程的表现有（ ）	2000～2010年已进入城市化后期成熟阶段	2020～2030年城市化速度最快	2010～2012年城市化速度减缓	1990～1995年城市化速度最慢	D
2000-2010年,安徽省的城市化比重增加至45%;2000-2005年城市化水平提高了10%;2010-2012年城市化比重一直在增加；1990-1995年城市化比重增加最少；2015年安徽省城市化比重为0%下图示意安徽省1990～2030年城市化水平统计及预测。读图，完成下列各题。目前安徽省城市化进程的特点是（ ）	水平较低，发展较快	水平较高，发展快	水平低，发展慢	水平高，发展慢	A
气温在6时最低，在14时最高。气温在0-9时较低，在12-18时较高。下图为“某地某日气温实况图”，下列叙述正确的是（）	最高气温出现在14:00，原因是太阳高度达到一天中最大	最低气温出现在6：00，原因是地面温度达到最低值	1：00-2：00降温幅度最大，原因是大气逆辐射最弱	9：00-11:00气温不断上升，原因是地面辐射不断增强	D
乙树种凋落量较小。乙树种在7-11月份凋落量较大。凋落物是联系植被与土壤两个系统的纽带，主要包括植被凋落的叶和茎等物质。左图为我国某地凋落物数量的逐月变化示意图，右图为甲树种春季凋落景观图。读图，完成小题。乙树种广泛分布于我国下列地区中的（ ）	藏北高原	东北大兴安岭北部	东南丘陵	华北平原	D
甲树种在1月-4月凋落量较大。凋落物是联系植被与土壤两个系统的纽带，主要包括植被凋落的叶和茎等物质。左图为我国某地凋落物数量的逐月变化示意图，右图为甲树种春季凋落景观图。读图，完成小题。造成甲树种春季凋落较多的最主要原因是（ ）	阴雨天气多，风力较大	降水相对较少，气温回升，蒸腾作用增强	日照充足，太阳辐射强	春季寒潮多发，低温影响明显	B
该城市6月-8月平均太阳辐射值较大。下图为长江三角洲某城市多年平均太阳辐射值逐月变化柱状图。读图完成各题。该城市平均太阳辐射值最大的季节是（ ）	春季	夏季	秋季	冬季	B
1月辐射值比7月小。6月辐射值比5月小。7月辐射值比6月大。8月辐射值比9月大。下图为长江三角洲某城市多年平均太阳辐射值逐月变化柱状图。读图完成各题。该城市各月平均太阳辐射值（ ）	1月较7月小，因为1月气温低	6月较5月小，因为6月云量大	7月较6月大，因为太阳高度大	8月较9月大，因为白昼时间短	B
2005年之后，老挝种植类型多样性指数波动上升。种植类型多样性指数可以衡量区域农业发展过程中种植结构的变化，数值越大，农作物的多样性越强。老挝地处中南半岛北部，属于热带季风气候。该国以稻谷种植为主，是典型的传统农业国。下图示意图1975-2015年种植类型多样性指数的变化，据此完成下面小题。老挝的主要农业地域类型（ ）	机械化水平高	经营方式粗放	水利工程量大	单位面积产量低	C
热量满足率较低。读我国某地区农业资源利用评价表（单位：%），完成下面小题。该地区发展农业生产的限制性因素是（ ）	光照	热量	降水	土壤	B
1952-1985年之间，中国对外贸易依存度小于日本。1986-2006年之间，中国对外贸易依存度大于日本。“对外贸易依存度”是指一国的进出口总额与该国国民生产总值或国内生产总值之比。对外贸易依存度反映一国对国际市场的依赖程度，体现本国经济增长对进出口贸易的依附程度。近几十年来我国的进出口总额总体呈上升趋势，以下说法正确的是	发展中国家的国际贸易发展水平已经超越发达国家	发达国家已经不再制造贸易壁垒，抑制发展中国家的商品出口	相比日本，我国出口商品结构中，高附加值商品的比例依然过低	由于国家贸易形势的变化，日本不再发展“加工贸易型”的工业了	C
